Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Il16,-3.48,A,-10.28,A,-5.09,,-5.49,A
Il17a,2.25,C,1.68,C,-1.19,C,2.02,C
Il17b,-2.92,,-1.85,,-2.4,,-3.25,
Il17c,1.51,,1.13,,1.58,,2.13,
Il17d,-13.87,A,-23.05,A,-10.02,A,-3.6,A
Il17f,1.04,,3.45,,1.76,,2.59,
Il17ra,-2.71,,-2.58,,-6.13,,-4.53,
Il17rb,-2.62,A,-4.94,A,-3.53,A,-3.54,A
Il18,-3.73,,-3.52,,-1.86,,-3.59,
Il18r1,-2.35,,-1.77,,-4.44,,-4.03,
Il18rap,-3.93,A,-1.74,,-5.64,A,-3.8,A
Il19,2.25,C,1.68,C,-1.19,C,2.02,C
Il1a,-4.4,,-1.33,,-1.37,,-2.71,
Il1b,-2.72,,1.43,,-5.44,,-2.74,
Il1f10,4.78,,48.69,,27.61,A,81.94,A
Il1f5,2.25,C,2.98,,7.63,,6.91,
Il1f6,2.25,C,1.68,C,-1.19,C,4.59,
Il1f8,-1.68,,-2.35,,2.28,A,-2.02,
Il1f9,-1.4,A,2.2,,-1.1,,-1.11,A
Il1r1,-3.46,,-4.06,,-5.52,,-5.37,
Il1r2,-1.36,,7.96,A,1.53,A,-1.33,
Il1rap,-2.37,,-2.91,,-3.54,,-3,
Il1rapl2,2.25,C,1.68,C,-1.19,C,2.02,C
Il1rl1,-17.9,A,-5.94,A,-4.23,A,-6.16,A
Il1rl2,-4.41,,-6.32,,-6.43,,-9.61,
Il1rn,-1.24,A,3.67,,-3.51,A,-1.08,A
Il2,1.28,,-1.05,,-2.1,,1.64,
Il20,2.25,C,1.68,C,-1.19,C,2.02,C
Il20ra,-1.92,,-2.58,,-3.84,,1.22,
Il21,2.25,C,1.68,C,-1.19,C,2.02,C
Il21r,-1.66,,-2.4,,-3.46,,-1.48,
Il22,-2.07,,-2.79,,-3.4,,-2.26,
Il22ra1,-7.8,,-5.02,,-4.69,,-2.26,
Il22ra2,2.25,C,1.68,C,-1.19,C,2.02,C
Il23a,-1.31,,-2.17,,-4.32,,-1.8,
Il23r,-4.8,,-8.44,,-10.27,,-7.24,
Il24,2.25,C,3.89,,-1.19,C,2.02,C
Il27,-3.7,,-1.26,,-3.18,,-1.49,
Ifnlr1,-7.41,A,-8.94,A,-8.82,,-12.84,A
Il2ra,12.79,,8.28,,9.92,,14.65,
Il2rb,-4.46,A,-9.08,A,-8.93,A,-4.33,A
Il2rg,-2.64,,-3.63,,-3.26,,-2.38,
Il3,2.25,C,1.68,C,-1.19,C,2.02,C
Il31,1.9,,1.42,,-1.41,,1.71,
Il31ra,-4.34,,-3.01,,-11.38,,-4.83,
Il3ra,-2.49,,-9.5,,-5.09,,-5.02,
Il4,-2.51,,-2.86,,-4.76,,-1.74,
Il4ra,-3.86,,-2.68,,-4.4,,-4.36,
Il5,-1.97,,1.67,,1.32,,-1.78,
Il5ra,-2.49,,-2.62,,-12.67,,-5.28,
Il6,1.34,,20.64,A,-5.05,,2.35,
Il6ra,-3.22,,-5.4,,-4.36,,-3.86,
Il6st,-3.93,,-4.1,,-6.14,,-4.38,
Il7,-4.56,A,-7.64,A,-5.18,A,-6.06,A
Il7r,-3.88,A,-4.38,A,-5.85,,-6.69,A
Il9,2.25,C,1.68,C,-1.19,C,2.89,
Il9r,-9.81,,-3.67,,-5.46,,-2.67,
Inha,-13.06,A,-12.9,A,-6.19,A,-4.42,A
Inhba,-4.47,A,-3.39,A,-8.26,A,-1.62,A
Inhbb,-6.46,A,-1.05,A,-3.16,A,-2.66,A
Ins1,2.25,C,1.68,C,-1.19,C,2.21,
Ins2,1.42,,1.05,,-1.89,,5.37,
Irf4,-10.98,A,-14.79,A,-14.99,A,-8.5,A
Irf7,852.07,A,3657.85,A,175.69,A,1527.77,A
Itgb2,-2.69,,-2.61,,-3.09,,-2.26,
Itih4,-2.2,,-1.75,,-7.56,,-2.38,
Kitl,-3.57,,-4.41,,-4.87,,-3.47,
Kng1,-5,,-6.72,,-13.38,,-5.57,
Lbp,-2.97,,-2.17,,-6.43,,-3.85,
Lefty1,-3.08,A,-3.42,,-1.09,,-3.16,A
Lefty2,2.25,C,4.45,,-1.19,C,10.22,
Lepr,-3.59,,-4.01,,-3.33,,-4.07,
Lif,-2.39,,-5.33,,-3.62,,-2.93,
Lifr,-4.43,,-7.96,,-8.77,,-5.31,
Lta,-1.52,,-1.85,,-3.21,,-4.29,
Ltb,-2.44,,-4.57,,-2.65,,-3.57,
Ltb4r1,-4.69,,-6.3,,-10.52,,-3.04,
Ly75,-4.81,A,-5.74,A,-6.6,A,-8.81,A
Ly86,-2.21,,-1.43,,-1.45,,-1.85,
Ly96,-2.31,,-4.3,,-3.48,,-2.78,
Mdk,-4.01,,-4.01,,-1.94,,-4.51,
Mefv,-3.53,,1.25,,-3.1,,-2.9,
Mgll,-4.21,,-5.77,,-6.45,,-4.67,
Mif,-3.21,,-1.66,,-1.65,,-2.71,
Mmp25,-1.32,,2.17,,-1.1,,1.15,
Mpl,-10.09,,-1.65,,-5.95,,-3.1,
Mstn,-46.6,A,-70.49,A,-10.53,A,-9.59,A
Muc4,26.89,,21.81,,4.01,,16.41,
Myd88,-1.97,A,-1.64,A,-10.06,A,-4.5,A
Nampt,-2.16,,1.1,,-1.86,,-1.9,
Nfam1,-1.03,,-1.31,,-2.76,,-1.06,
Nfatc3,-3.33,,-9.19,,-6.39,,-6.9,
Nfatc4,-4.71,,-3,,-3.61,,-2.76,
Nfe2l1,-4.33,,-7.03,,-6.96,,-6.48,
Nfkb1,-2.19,,-1.82,,-1.61,,-3.39,
Nfrkb,-2.44,,-4.42,,-5.3,,-4.08,
Nfx1,-4.27,A,-3.13,,-3.21,,-5.32,A
Nlrp12,-4.97,,-1.39,,-13.29,,-5.53,
Nmi,-3.02,,1.1,,-2.09,,-2.53,
Nodal,2.25,C,1.68,C,-1.11,,2.2,
Nos2,-1.17,A,1.13,A,1.64,,1.55,A
Nr3c1,-3.67,,-7.19,,-5.8,,-5.54,
Nrg1,-4.31,A,-1.74,A,-2.08,,-4.79,A
Ntf3,-7.09,A,-7.14,A,-7.38,A,-6.32,A
Olr1,-1.16,A,-1.3,A,-3.89,A,-2.32,A
Osm,-2.77,,2.03,,-6.11,,-6.22,
Osmr,-3.66,,-1.92,,-3.08,,-3.98,
Parp4,-2.89,,-2.28,,-2.2,,-3.1,
Pdgfa,-6.56,,-6.57,,-3.34,,-5.53,
Pdgfb,-5.02,,-7.6,,-5.61,,-6.02,
Pdgfc,-13.73,A,-9.96,A,-7.03,,-9.42,A
Pf4,116,A,210.28,A,179.41,A,158.27,A
Pglyrp1,-1.56,,1.25,,-2.19,,-1.55,
Pla2g2d,-6.89,A,-17.96,A,-4.01,A,-4.13,A
Pla2g7,-2.42,,-1.24,,-2.37,,-3.7,
Ppbp,-10.36,A,-12.12,A,-8.34,,-7.11,
Prdx5,-3.46,,-1.99,,-2.56,,-3.75,
Prg2,-3.61,,-2.54,,-2.41,,-1.9,
Prg3,-1.2,,-1.61,,1.26,,-1.34,
Prl,2.25,C,1.68,C,-1.19,C,2.02,C
Prlr,-1.33,,-1.94,,-2.11,,-1.45,
Procr,-5.11,A,-2.87,,-2.46,,-3.45,
Prok2,2.25,C,97.64,A,-1.19,C,2.02,C
Ptafr,-1.29,A,1.7,,-3.12,,-1.76,A
Ptgs2,-3.29,A,-4.18,A,-5.92,A,-5.63,A
Ptn,-2.07,A,-5.72,A,1.11,,-1.99,A
Ptpra,-4.97,,-4.09,,-2.86,,-5.63,
Ptx3,-2.37,A,1.07,A,-3.73,A,-2.99,A
Pxmp2,-4.65,A,-6.82,A,-4.46,,-4.96,A
Reg3a,2.25,C,3.96,,-1.19,C,8.94,
Reg3g,-1.23,,-2.33,,-7.56,,-1.42,
Ripk2,-3.06,,-1.79,,-1.62,,-2.83,
S100a11,-3.44,,-1.33,,-2.19,,-3.59,
S100a8,-2.53,,13.36,,-3.9,,-1.34,
S100b,-8.96,A,-32.69,A,-5.97,,-8.71,A
Saa4,2.84,,3.82,,-1.19,C,2.02,C
Scg2,-1.66,,-2.54,,-2.23,,-2.03,
Scube1,-2.77,,-2.89,,-2.65,,-3.33,A
Sdcbp,-4.13,,-3.02,,-2.9,,-4.82,
Sectm1b,2.25,C,1.72,,-1.19,C,2.77,
Sele,1.26,,1.19,,-5.28,,-1.76,
Serpina1a,2.25,C,1.68,C,-1.19,C,2.02,C
Serpina3n,1.06,,6.82,,-4.22,,1.22,
Serpinf2,-3.55,,-3.89,,-6.96,,-2.93,
Sftpd,-2.72,,-1.38,,-2.39,,-2.84,
Sigirr,-3.82,,-4.08,,-2.9,,-4.53,
Siglec1,1.01,,-2.14,A,-5.58,A,-1.15,
Siva1,-2.69,,-1.71,,1.04,,-2.18,
Slco1a4,-2.05,,-2.84,,-5.65,,-1.54,
Slurp1,-3.58,,-2.52,,-1.41,,-3.05,
Socs2,-5.69,,-3.77,,-4.22,,-3.79,
Spaca3,2.25,C,1.68,C,1.29,,2.02,C
Spp1,-1.95,,1.73,,-1.05,,-1.14,
Spred1,-3.62,,-5.08,,-4.23,,-3.51,
Srgap1,-4.02,A,-5.98,A,-5.49,A,-7.56,A
Stab1,-4.56,,-4.69,,-2.48,,-4.62,
Stat3,-2.5,,-2.46,,-3.48,,-3.2,
Syk,-8.44,A,-19,A,-18.46,A,-8.56,A
Tacr1,-4.96,,-6.88,,-13.1,,-4.37,
Thpo,7.57,,9.16,,6.9,,12.61,
Tirap,-4.52,A,-6.17,A,-6.85,,-6.27,A
Tlr1,-1.76,A,1.15,,-1,,1.02,
Tlr2,-2.55,A,-1.37,,-4.81,A,-4.39,A
Tlr3,-1.67,,1.11,,-1.76,,-2.37,
Tlr4,-3.39,,-5.84,A,-8.53,,-5.58,A
Tlr5,-3.05,A,-7.35,A,-5.89,,-6.16,A
Tlr6,-2.37,A,-3.16,A,-7.04,A,-2.59,A
Tlr7,1,A,-2.16,A,-2.81,A,-1.84,A
Tlr8,-1.4,A,-2.18,A,-2,,-2.64,A
Tlr9,-2.54,A,-6.3,A,-15.92,A,-4.16,A
Tnf,7.45,,11.99,,1.61,,3.06,
Tnfaip6,-2.8,A,-1.4,A,-2.29,A,-3.34,A
Tnfrsf11b,-5.5,A,-8.75,A,-4.84,,-7.74,A
Tnfsf10,-1.74,,-2.67,,-2.76,,-2.09,
Tnfsf11,2.75,,1.58,,4.72,,7.85,
Tnfsf13,-4.44,,-5.54,,-4.52,,-4.11,
Tnfsf13b,-1.63,,-1.89,,-1.95,,-2.11,
Tnfsf14,-3,A,-1.14,A,-2.94,A,-2.01,A
Tnfsf15,-3.49,A,-10.54,A,-7.2,A,-4.79,A
Tnfsf18,-3.23,,-4.33,,-2.11,,-3.17,
Tnfsf4,-1.02,,-1.37,,-2.73,,-1.14,
Tnfsf8,-1.05,,1.09,,-2.3,,3.53,
Tnfsf9,-29.24,A,-4.15,A,-9.95,A,-17.47,A
Tollip,267.3,A,187.57,A,170.3,A,231.19,A
Tpst1,-3.8,,-4.57,,-2.76,,-4.89,
Trap1,-4.24,,-4.49,,-4.92,,-6.14,
Ttn,-3.78,,-16.24,,-2.83,,-5.06,
Tymp,-11.7,A,-15,A,-18.36,A,-5.56,A
Vegfa,-3.33,,-3.09,,-3.02,,-3.34,
Vegfb,-4.01,,-10.64,A,-6.05,,-5.25,
Vps45,-4.3,,-3.8,,-3.18,,-5.58,A
Xcl1,-3.34,,-4.25,,-2.02,,-1.36,
Xcr1,-2.53,A,-28.53,A,-3.28,A,-2.65,A
Yars,-3.47,,-5.04,,-6.82,,-6.05,
Actb,-1.01,,-1.32,,-1.57,,-1.41,
B2m,1.69,,2.8,,1.94,,2.4,
Gapdh,-1.67,,-2.12,,-1.24,,-1.71,
Gusb,-1.04,,-1.54,,-1.02,,-1.66,
Hsp90ab1,1.41,,-1.03,,1.86,,1.05,
